mgi_symbol,hgnc_symbol
Mogat2,MOGAT2
Traf5,TRAF5
Ncbp2,NCBP2
Traf3ip2,TRAF3IP2
Gm7137,KRTAP10-12
Gm7137,KRTAP10-8
Gm7137,KRTAP10-5
Gm7137,KRTAP10-1
Gm7137,KRTAP10-9
Gm7137,KRTAP10-11
Gm7137,KRTAP10-2
Gm7137,KRTAP10-7
Gm7137,KRTAP10-4
Gm7137,KRTAP10-6
Gm7137,KRTAP10-10
Gm7137,KRTAP10-3
Cep97,CEP97
Trp53rkb,TP53RK
Olfr1249,OR4A16
Gm31371,POTEH
Gm31371,POTEI
Gm31371,POTEM
Gm31371,POTEJ
Gm31371,POTEG
Gm31371,POTEE
Arl6ip6,ARL6IP6
Cdk20,CDK20
Mgarp,MGARP
Spp2,SPP2
Kras,KRAS
Auh,AUH
Olfr1051,OR8K5
Olfr1240,OR4A16
Akap4,AKAP4
Qprt,QPRT
Lmo1,LMO1
Etfa,ETFA
Olfr202,OR5AC2
Lpxn,LPXN
4930553J12Rik,KRTAP15-1
Krtap15,KRTAP15-1
Olfr317,OR2W3
Olfr583,OR51F1
Memo1,MEMO1
Ces2h,CES2
St8sia2,ST8SIA2
Pla2g7,PLA2G7
Olfr1246,OR4A16
Dnah6,DNAH6
Terf2ip,TERF2IP
Drp2,DRP2
Olfr1028,OR5M11
Vps39,VPS39
Pelp1,PELP1
Akr1c12,AKR1C1
Akr1c12,AKR1C2
Akr1c12,AKR1C3
Galnt6,GALNT6
CK137956,C1orf94
Gng3,GNG3
Chst15,CHST15
Cdan1,CDAN1
Prkci,PRKCI
Usp53,USP53
Pde5a,PDE5A
Tmem160,TMEM160
Nacad,NACAD
Ccdc80,CCDC80
Gp2,GP2
1810037I17Rik,C4orf3
Tgfb2,TGFB2
Smpd3,SMPD3
Tspan31,TSPAN31
Olfr678,OR52E5
Cacna1i,CACNA1I
Olfr1461,OR5B3
Nectin3,NECTIN3
Stk39,STK39
Slc5a7,SLC5A7
Ppbp,PPBP
Ccdc181,CCDC181
Tom1l2,TOM1L2
,DGCR8
Olfr675,OR52E6
Olfr675,OR52E8
Mthfs,ST20-MTHFS
Mthfs,MTHFS
Cbln1,CBLN1
Olfr568,OR51F2
Ift172,IFT172
Gm12184,CDK2AP1
Myof,MYOF
Kpna1,KPNA1
Mtmr1,MTMR1
Alb,ALB
Th,TH
Rbp3,RBP3
Ubl4a,UBL4A
Ttc8,TTC8
Ankrd45,ANKRD45
Tcrg-V1,TRGV11
Fgfr2,FGFR2
Gm10591,CCL21
Gm35060,TEX51
Strbp,STRBP
Synj2,SYNJ2
Edc3,EDC3
Kctd10,KCTD10
Clvs2,CLVS2
Gdpd1,GDPD1
Mag,MAG
Olfr1445,OR5B12
Alkbh7,ALKBH7
F7,F7
Prrxl1,DRGX
Insl3,INSL3
Stoml2,STOML2
Lcn9,LCN9
Klhl38,KLHL38
Ugt1a9,UGT1A10
Ugt1a9,UGT1A7
Ugt1a9,UGT1A8
Cbwd1,CBWD3
Cbwd1,CBWD5
Cbwd1,CBWD2
Mrpl38,MRPL38
Telo2,TELO2
Dbndd2,DBNDD2
Cntf,CNTF
Ppa1,PPA1
Spag9,SPAG9
Gga1,GGA1
Psma6,PSMA6
Hypk,HYPK
Afdn,AFDN
Cdk7,CDK7
Rbm14,RBM14
Arhgdib,ARHGDIB
H1foo,H1FOO
Xpo6,XPO6
Colgalt1,COLGALT1
Olfr448,OR2A5
Arap2,ARAP2
Abcb7,ABCB7
Otud4,OTUD4
Auts2,AUTS2
Zfp940,ZNF790
Lrfn5,LRFN5
Tas2r135,TAS2R60
Dhrs1,DHRS1
Uap1l1,UAP1L1
Rab21,RAB21
Pdxk,PDXK
Serpinf1,SERPINF1
Ung,UNG
Tcrg-V3,TRGV11
Uaca,UACA
Pld6,PLD6
U2af2,U2AF2
Tacr1,TACR1
Rtn1,RTN1
Trbv17,TRBV15
Epha1,EPHA1
Exosc8,EXOSC8
Spdye4b,SPDYE4
Myh7b,MYH7B
Kcnq2,KCNQ2
Calhm3,CALHM3
Traf3ip3,TRAF3IP3
E130311K13Rik,C3orf33
Tex15,TEX15
Slc35d3,SLC35D3
Ncbp1,NCBP1
Dgkb,DGKB
Zfp445,ZNF445
Dppa2,DPPA2
Gpat4,GPAT4
Colgalt2,COLGALT2
Tprn,TPRN
4930407I10Rik,C22orf46
Snapc3,SNAPC3
Mok,MOK
Alg5,ALG5
H2-Q4,HLA-A
H2-Q4,HLA-G
H2-Q4,HLA-F
H2-Q4,HLA-E
Olfr1424,OR4D10
Klhdc8a,KLHDC8A
Avil,AVIL
Zfp703,ZNF703
Ttc33,TTC33
Cdc25a,CDC25A
Nr1i2,NR1I2
Cdkn1a,CDKN1A
Fthl17f,FTHL17
Nlrc4,NLRC4
Ache,ACHE
Gm32802,CDC5L
Recql4,RECQL4
Olfr519,OR10A6
Olfr519,OR10A3
Ighv3-6,IGHV6-1
Ighv3-6,IGHV4-4
Ighv3-6,IGHV4-28
Ighv3-6,IGHV4-31
Ighv3-6,IGHV4-34
Ighv3-6,IGHV4-39
Ighv3-6,IGHV4-61
Ighv3-6,IGHV4-59
Dusp4,DUSP4
Zfp746,ZNF746
Cfap206,CFAP206
Fam166b,FAM166B
C77080,KIAA1522
Hcrt,HCRT
Zfand6,ZFAND6
Ice2,ICE2
Rsph1,RSPH1
Hc,C5
Lrrc4b,LRRC4B
Gfy,GFY
Cep120,CEP120
Tsnax,TSNAX-DISC1
Tsnax,TSNAX
Hecw1,HECW1
Olfr514,OR10A6
Olfr514,OR10A3
Olfr460,OR9A4
Pawr,PAWR
Rnf217,RNF217
Hhex,HHEX
Sgcz,SGCZ
Dnaic2,DNAI2
Gm49322,ADAT3
Trbv23,TRBV23-1
Pcdhga10,PCDHGA10
Mynn,MYNN
Gpr15,GPR15
Slc25a33,SLC25A33
Gm11992,C7orf57
Nufip2,NUFIP2
B9d1,B9D1
Pdzrn4,PDZRN4
Klk9,KLK9
Rdh16,RDH16
H2-T23,HLA-A
H2-T23,HLA-G
H2-T23,HLA-F
H2-T23,HLA-E
Slc17a7,SLC17A7
Ankrd34a,ANKRD34A
Cd300ld4,CD300LF
Cyp3a41a,CYP3A5
Cyp3a41a,CYP3A7
Cyp3a41a,CYP3A7-CYP3A51P
Cyp3a41a,CYP3A4
Cyp3a41a,CYP3A43
Ttll1,TTLL1
Adh5,ADH5
Srsf4,SRSF4
Cxcl13,CXCL13
Lefty2,LEFTY1
Lefty2,LEFTY2
Tcaf1,TCAF1
Tmco5,TMCO5A
Vps13d,VPS13D
Msr1,MSR1
Olfr1464-ps1,OR5B3
Ereg,EREG
Olfr160,OR8A1
Siae,SIAE
Atp1b1,ATP1B1
Gm15319,POTEH
Gm15319,POTEI
Gm15319,POTEM
Gm15319,POTEJ
Gm15319,POTEG
Gm15319,POTEE
Dlx3,DLX3
Lrrd1,LRRD1
Trmt2a,TRMT2A
Cyb5r1,CYB5R1
Dnaja3,DNAJA3
Sdr9c7,SDR9C7
Fam241b,FAM241B
Fbxl12,FBXL12
Olfr845,OR7G2
Gm10318,KRTAP10-12
Gm10318,KRTAP10-8
Gm10318,KRTAP10-5
Gm10318,KRTAP10-1
Gm10318,KRTAP10-9
Gm10318,KRTAP10-11
Gm10318,KRTAP10-2
Gm10318,KRTAP10-7
Gm10318,KRTAP10-4
Gm10318,KRTAP10-6
Gm10318,KRTAP10-10
Gm10318,KRTAP10-3
Rbpms,RBPMS
Pdc,PDC
Birc7,BIRC7
Henmt1,HENMT1
Zdhhc14,ZDHHC14
Hint3,HINT3
Il17b,IL17B
Teddm1a,TEDDM1
Bola2,BOLA2
Olfr1454,OR5B3
Edrf1,EDRF1
Meikin,MEIKIN
Camta2,CAMTA2
Vps37b,VPS37B
Pfdn2,PFDN2
Rps6kc1,RPS6KC1
1700047I17Rik2,FAM177A1
3110002H16Rik,RMC1
Ubxn1,UBXN1
Abcc3,ABCC3
Sgo2b,SGO2
Plagl2,PLAGL2
Pnpla8,PNPLA8
Onecut2,ONECUT2
Epp13,EDDM13
Lonp1,LONP1
Taf9,TAF9
Nhsl1,NHSL1
Hdac10,HDAC10
Lag3,LAG3
Sh3bgrl3,SH3BGRL3
Sytl2,SYTL2
Nrd1,NRDC
Cfc1,CFC1B
Cfc1,CFC1
Il22,IL22
Zfx,ZFY
Adgrf2,ADGRF2
Gpr157,GPR157
Efcab6,EFCAB6
Klk12,KLK12
Soat2,SOAT2
Ppfia1,PPFIA1
Tmed2,TMED2
Olfr926,OR8D2
Col1a1,COL1A1
Ppp1r3f,PPP1R3F
Fcrl1,FCRL1
Tmem79,TMEM79
Parp6,PARP6
Utp20,UTP20
Fam81b,FAM81B
Pappa,PAPPA
Higd1b,HIGD1B
Cldn12,CLDN12
Tnpo2,TNPO2
Xpnpep1,XPNPEP1
Prdx6,PRDX6
Cldn34b3,CLDN34
Cwc27,CWC27
Slfn9,SLFN11
Slfn9,SLFN13
Xrcc2,XRCC2
Kat7,KAT7
Vmn1r36,VN1R5
Olfr1453,OR5B3
Gm45713,RPL13A
Pde6a,PDE6A
Sst,SST
Olfr1459,OR5B3
2300009A05Rik,C15orf61
Krba1,KRBA1
Slc39a5,SLC39A5
Ccdc115,CCDC115
Pax1,PAX1
Fasn,FASN
Agap2,AGAP2
Cish,CISH
Acsf3,ACSF3
Slc26a3,SLC26A3
Olfr1082,OR8K3
Clca2,CLCA2
Hars2,HARS2
Nf2,NF2
Ntrk1,NTRK1
Zfp69,ZFP69
Trim69,TRIM69
Dctd,DCTD
Ocstamp,OCSTAMP
Tmem81,TMEM81
Csrnp2,CSRNP2
Pipox,PIPOX
Xylb,XYLB
Atp8b3,ATP8B3
Cd72,CD72
Adipoq,ADIPOQ
Pomp,POMP
Fcamr,FCAMR
Ppp1r1b,PPP1R1B
Hoxb13,HOXB13
Olfr110,OR5V1
Gbgt1,GBGT1
Hmgcll1,HMGCLL1
Ogfrl1,OGFRL1
Stau2,STAU2
Pex19,PEX19
Glrx2,GLRX2
Pcdhb1,PCDHB1
Fgfr1,FGFR1
Olfr501-ps1,OR5AL1
Zfp236,ZNF236
Rgs21,RGS21
Ighv1-5,IGHV1-24
Ighv1-5,IGHV1-69
Ighv1-5,IGHV1-69-2
Ighv1-5,IGHV1-69D
Serf1,SERF1B
Serf1,SERF1A
Pdcd10,PDCD10
Gm6685,CYB5D1
Mctp2,MCTP2
Gjc3,GJC3
Cntn2,CNTN2
Ush1c,USH1C
Onecut3,ONECUT3
Kdelc2,KDELC2
Dach2,DACH2
Olfr589,OR52E2
Slc6a13,SLC6A13
Pspn,PSPN
Gm20696,EIF4E3
Cdh22,CDH22
U2surp,U2SURP
Pcdhgb7,PCDHGB7
Zc3h15,ZC3H15
Ptprc,PTPRC
Dcaf4,DCAF4L1
Olfr1016,OR9G1
Mon2,MON2
Mtf1,MTF1
Ighv9-3,IGHV7-4-1
Ighv9-3,IGHV7-81
Vmn1r10,VN1R5
Srp54b,SRP54
Tpk1,TPK1
Hrg,HRG
Olfr1446,OR5B3
Gcc1,GCC1
Il12rb1,IL12RB1
Prox1,PROX1
Wdr55,WDR55
Foxh1,FOXH1
Sox7,SOX7
Rpl34,RPL34
Cptp,CPTP
Tlk2,TLK2
Slc41a1,SLC41A1
Dlgap1,DLGAP1
Strn4,STRN4
Mthfr,MTHFR
Krtap12-1,KRTAP12-3
Krtap12-1,KRTAP12-2
Krtap12-1,KRTAP12-1
Pcdhb20,PCDHB14
Kcnj10,KCNJ10
Gsta1,GSTA2
Gsta1,GSTA1
Gsta1,GSTA5
Olfr1462,OR5B3
Olfr325,OR2T4
Olfr325,OR2T5
Olfr325,OR2T29
Pkig,PKIG
Cts6,CTSL
Olfr193,OR5H1
Olfr193,OR5H14
Olfr193,OR5H15
Olfr193,OR5H6
Olfr193,OR5H8
Pcp2,PCP2
Apcs,APCS
Dbx2,DBX2
Fgf20,FGF20
Cs,CS
Tubb2b,TUBB2B
Nppa,NPPA
Uap1,UAP1
Olfr1019,OR5AR1
Pfn1,PFN1
P4ha3,P4HA3
Epb41,EPB41
Fam159b,SHISAL2B
Tfap2b,TFAP2B
Wdr49,WDR49
Ccl17,CCL17
Myl12b,MYL12B
Ugt2b35,UGT2B17
Ugt2b35,UGT2B15
Ugt2b35,UGT2B10
Ugt2b35,UGT2B7
Ugt2b35,UGT2B11
Ugt2b35,UGT2B28
Ugt2b35,UGT2B4
Angptl4,ANGPTL4
Nr2f2,NR2F2
Oas1e,OAS1
Tbc1d4,TBC1D4
Ubd,UBD
Fzd1,FZD1
Fbxo4,FBXO4
Plxna2,PLXNA2
Pinx1,PINX1
Trav7-1,TRAV12-1
Trav7-1,TRAV12-2
Tbc1d32,TBC1D32
Hectd3,HECTD3
Tmem165,TMEM165
Asah2,ASAH2
Asah2,ASAH2B
Pou3f4,POU3F4
Tmem205,TMEM205
Disp3,DISP3
Haus2,HAUS2
Zfp607b,ZNF780A
Zfp607b,ZNF780B
Magea6,MAGEA9B
Magea6,MAGEA11
Magea6,MAGEA9
Magea6,MAGEA8
Adamts1,ADAMTS1
Wdr86,WDR86
Ndor1,NDOR1
Ubl7,UBL7
Ptprb,PTPRB
Olfr1111,OR5AS1
Pphln1,PPHLN1
Ppp1r3e,PPP1R3E
Srl,SRL
Elmod3,ELMOD3
Plxnd1,PLXND1
Crtc1,CRTC1
Hbegf,HBEGF
Zfp667,ZNF667
Shisa7,SHISA7
Olfr1214,OR4C15
Gc,GC
Adprh,ADPRH
Pparg,PPARG
Srpk2,SRPK2
Amd1,AMD1
4933417A18Rik,C6orf201
Chil1,CHI3L1
Sox14,SOX14
Prss38,PRSS38
Sept2,SEPT2
Sgcg,SGCG
Slc9a2,SLC9A2
Rap1gap,RAP1GAP
Hrasls,HRASLS
Slc26a5,SLC26A5
Cd86,CD86
Olfr74,OR5D18
Lsm2,LSM2
Drd2,DRD2
Gm28051,GON7
Trav5-1,TRAV13-1
Kif3b,KIF3B
Cyhr1,CYHR1
Meis2,MEIS2
Macf1,MACF1
Zfand4,ZFAND4
Tmem108,TMEM108
Vgf,VGF
Xcr1,XCR1
Hspb9,HSPB9
Arrb2,ARRB2
Ffar3,FFAR3
Ffar3,GPR42
Ctbp2,CTBP2
Apbb1ip,APBB1IP
1810043G02Rik,C21orf2
Nes,NES
Riok3,RIOK3
Pex5l,PEX5L
Stpg3,STPG3
Tst,TST
Lrrc3c,LRRC3C
Purg,PURG
Cntnap5b,CNTNAP5
Fam205a2,FAM205A
Hpdl,HPDL
Ptrh1,PTRH1
Olfr1351,OR7A5
Olfr1351,OR7A10
Olfr1351,OR7A17
Myf5,MYF5
Obscn,OBSCN
Katnal2,KATNAL2
4930435E12Rik,C3orf30
Siglec1,SIGLEC1
Vmn1r25,VN1R5
Rcan3,RCAN3
Hunk,HUNK
Nupl1,NUP58
Smarca5,SMARCA5
Oxct1,OXCT1
Trem2,TREM2
Olfr828,OR7G2
Tmem119,TMEM119
Pcdha11,PCDHA11
Mbd3l1,MBD3L1
Fam3a,FAM3A
Wls,WLS
Cct3,CCT3
Ldhal6b,LDHAL6B
Me3,ME3
Ctsr,CTSL
Adprhl2,ADPRHL2
Hpca,HPCA
Cluap1,CLUAP1
Ccdc43,CCDC43
Pkib,PKIB
C1ql3,C1QL3
Lmod1,LMOD1
Arhgap35,ARHGAP35
Blzf1,BLZF1
Cfap36,CFAP36
Hmga2,HMGA2
Hibch,HIBCH
Tex22,TEX22
Mfsd11,MFSD11
Ythdf3,YTHDF3
Ddx18,DDX18
Asb10,ASB10
Lypd6,LYPD6
Trim37,TRIM37
Fgd6,FGD6
Trim23,TRIM23
Cdk18,CDK18
Brd3,BRD3
Gtf2a1,GTF2A1
Crcp,CRCP
Dpp10,DPP10
Lsm6,LSM6
Vsnl1,VSNL1
Apba1,APBA1
March8,MARCH8
Marc1,MARC1
Faim2,FAIM2
Usp17la,USP17L1
Usp17la,USP17L4
Usp17la,USP17L3
Usp17la,USP17L8
Pcyox1l,PCYOX1L
Rgs4,RGS4
Grm6,GRM6
Aldh16a1,ALDH16A1
Atxn7l2,ATXN7L2
Thrb,THRB
Egf,EGF
Sgpp2,SGPP2
Stard6,STARD6
Zfp426,ZNF426
Hilpda,HILPDA
Abcf2,ABCF2
Polr1d,POLR1D
Olfr1173,OR5D13
Lsamp,LSAMP
Bcorl1,BCORL1
Med11,MED11
Zfp235,ZNF235
Gpatch2l,GPATCH2L
Olfr19,OR7A5
Olfr19,OR7A10
Olfr19,OR7A17
Pde6b,PDE6B
Dnajc5,DNAJC5
Armc1,ARMC1
Tcaim,TCAIM
Lrrc37a,LRRC37B
Lrrc37a,LRRC37A3
Spag1,SPAG1
Fkbp7,FKBP7
Tmco1,TMCO1
Strip1,STRIP1
Zfp579,ZNF579
Tmem44,TMEM44
Spout1,SPOUT1
Tmsb10,TMSB10
Ucp3,UCP3
Sp2,SP2
Gm42791,KATNAL1
Mcub,MCUB
Dusp10,DUSP10
Cspp1,CSPP1
Trbv3,TRBV2
Acta1,ACTA1
Snai1,SNAI1
Parvb,PARVB
Mrpl1,MRPL1
Olfr669,OR52N5
Lipf,LIPF
Gm10697,SPOP
Lypd6b,LYPD6B
Oas1d,OAS1
Panx3,PANX3
Ceacam1,PSG3
Ceacam1,PSG8
Ceacam1,PSG1
Ceacam1,PSG2
Ceacam1,PSG11
Ceacam1,PSG4
Ceacam1,PSG6
Ceacam1,PSG7
Ceacam1,PSG5
Gm12666,LARP7
Atp5h,ATP5PD
Tacr3,TACR3
Ddx4,DDX4
Epha6,EPHA6
Rps23,RPS23
Grin1,GRIN1
Lamc1,LAMC1
Mterf1a,MTERF1
Olfr94,OR2I1P
Selenof,SELENOF
Ms4a1,MS4A1
Slc35g3,SLC35G3
Slc35g3,SLC35G5
Gpr182,GPR182
Srsf11,SRSF11
Plod2,PLOD2
Rnase13,RNASE13
Trappc2,TRAPPC2B
Gm7030,HLA-A
Gm7030,HLA-G
Gm7030,HLA-F
Gm7030,HLA-E
Gpr146,GPR146
Slpi,SLPI
Snap25,SNAP25
Nxnl2,NXNL2
Fbxo3,FBXO3
Tepp,TEPP
Nol8,NOL8
Mettl14,METTL14
Ube2cbp,UBE3D
Trav9d-2,TRAV8-1
Trav9d-2,TRAV8-3
Xcl1,XCL2
Xcl1,XCL1
Fbxo48,FBXO48
Stx5a,STX5
Fah,FAH
Cryba1,CRYBA1
Adi1,ADI1
Arrdc2,ARRDC2
Hpn,HPN
D10Jhu81e,GATD3A
Epdr1,EPDR1
Smg8,SMG8
1700008O03Rik,C19orf81
Fam217a,FAM217A
Ddx10,DDX10
Gm3854,ZNF582
Dcbld2,DCBLD2
Sh3gl1,SH3GL1
Ppil1,PPIL1
Meltf,MELTF
Sos1,SOS1
Tacc2,TACC2
Kif26a,KIF26A
Scoc,SCOC
Cdk2ap1,CDK2AP1
Ighv1-55,IGHV1-24
Ighv1-55,IGHV1-69
Ighv1-55,IGHV1-69-2
Ighv1-55,IGHV1-69D
Ncstn,NCSTN
Alkbh2,ALKBH2
Olfr105-ps,OR12D2
Olfr105-ps,OR12D1
Kcnh2,KCNH2
Trmt1l,TRMT1L
Umod,UMOD
Ubxn6,UBXN6
Srsf2,SRSF2
Ms4a6d,MS4A6A
Ms4a6d,MS4A6E
Fgf14,FGF14
Myl6,MYL6
Pot1a,POT1
Lrg1,LRG1
Nisch,NISCH
Wtip,WTIP
Srr,SRR
Klf9,KLF9
Ano6,ANO6
Ssh2,SSH2
Cnksr2,CNKSR2
Oas1h,OAS1
Eif1ax,EIF1AX
Disp1,DISP1
Dnmt3a,DNMT3A
Rag2,RAG2
Olfr1444,OR5B21
Lipo4,LIPJ
Ckm,CKM
Hddc2,HDDC2
Ppil3,PPIL3
Cldn34b1,CLDN34
Ssxb6,SSX2B
Ssxb6,SSX2
Ssxb6,SSX7
Slitrk3,SLITRK3
Pcdhgc3,PCDHGC5
Tbpl1,TBPL1
Ly75,LY75
Ly75,LY75-CD302
Nif3l1,NIF3L1
Iqcb1,IQCB1
Ces2g,CES2
Ttll4,TTLL4
B230118H07Rik,C11orf74
Olfr190,OR5H1
Olfr190,OR5H14
Olfr190,OR5H15
Olfr190,OR5H6
Olfr190,OR5H8
Pcdhb7,PCDHB4
Rab18,RAB18
Snapc5,SNAPC5
Ghdc,GHDC
Muc16,MUC16
Adra2c,ADRA2C
Ankmy2,ANKMY2
Aldh7a1,ALDH7A1
Odf2,ODF2
Papd4,TENT2
Atp6v0a4,ATP6V0A4
Tomm20,TOMM20
Ankhd1,ANKHD1-EIF4EBP3
Ankhd1,ANKHD1
Lgi3,LGI3
Paics,PAICS
Arl2bp,ARL2BP
Ston2,STON2
Oas1g,OAS1
Orm1,ORM1
Orm1,ORM2
Cntfr,CNTFR
Dhx15,DHX15
Eya2,EYA2
Sumo1,SUMO1
Sun3,SUN3
Vstm2a,VSTM2A
Slc25a35,SLC25A35
Aes,AES
Pop7,POP7
Acy3,ACY3
,SP100
Ighv8-5,IGHV2-5
Ighv8-5,IGHV2-26
Ighv8-5,IGHV2-70D
Ighv8-5,IGHV2-70
Slc8a1,SLC8A1
Ltk,LTK
Mogat1,MOGAT1
Armcx4,ARMCX4
Mroh1,MROH1
Actr3,ACTR3
Cel,CEL
Clcn1,CLCN1
Tmem176a,TMEM176A
Krt79,KRT79
Reg3a,REG3G
Reg3a,REG3A
Gm10696,SPOP
Mphosph9,MPHOSPH9
Uchl3,UCHL3
Ttc16,TTC16
Fthl17a,FTHL17
Iqck,IQCK
Sapcd2,SAPCD2
Olfr1031,OR5M8
Hyou1,HYOU1
Apela,APELA
Plk3,PLK3
Ctsl,CTSV
Gpr179,GPR179
Stk38,STK38
Ptprs,PTPRS
Olfr1122,OR10AG1
Hpx,HPX
Cd55,CD55
Ribc2,RIBC2
Pla2g15,PLA2G15
Zer1,ZER1
Rabgap1l,RABGAP1L
Atp6v0b,ATP6V0B
Odf3b,ODF3B
B4galt2,B4GALT2
Aff1,AFF1
Fam131c,FAM131C
Stx17,STX17
Zscan4d,ZSCAN4
Ncr1,NCR1
Zbtb25,ZBTB25
Asb17,ASB17
Cdkl2,CDKL2
Nup85,NUP85
Spa17,SPA17
Ptch1,PTCH1
Mast3,MAST3
Parva,PARVA
Hbb-bs,HBB
Hbb-bs,HBD
Tubb4a,TUBB4A
Mcat,MCAT
Il1r1,IL1R1
Timm44,TIMM44
Pnpla5,PNPLA5
Klk11,KLK11
Pappa2,PAPPA2
Usp30,USP30
Ahctf1,AHCTF1
Eomes,EOMES
Ttpa,TTPA
Lrp6,LRP6
Zfp512,ZNF512
Naaladl1,NAALADL1
Bub3,BUB3
Polr2k,POLR2K
Ndufb3,NDUFB3
Smyd4,SMYD4
Mpp7,MPP7
Scrib,SCRIB
Gm21876,SSX2B
Gm21876,SSX2
Gm21876,SSX7
Arhgap31,ARHGAP31
Gm21964,TLE7
Olfr1006,OR9G4
Olfr1510,OR10G2
Nek4,NEK4
Tspyl5,TSPYL5
Acot2,ACOT1
Acot2,ACOT2
Sertm1,SERTM1
Usp29,USP29
Heatr3,HEATR3
Pagr1a,PAGR1
Atp1a2,ATP1A2
Kif1c,KIF1C
Wdr26,WDR26
Oaz2,OAZ2
Timm17a,TIMM17A
Mbnl1,MBNL1
Rnf212,RNF212
Uba5,UBA5
Fam170b,FAM170B
Spock3,SPOCK3
Trappc10,TRAPPC10
Olfr1457,OR5B3
A930018P22Rik,C11orf91
Vmn1r12,VN1R5
Ube2f,UBE2F
Ube2f,UBE2F-SCLY
Lztfl1,LZTFL1
Olfr721-ps1,OR2T2
Olfr721-ps1,OR2T35
Trim34b,TRIM34
Trim34b,TRIM6-TRIM34
Scamp5,SCAMP5
Olfr1034,OR5M9
Slc35f3,SLC35F3
Cyb561a3,CYB561A3
Elf3,ELF3
Zfp653,ZNF653
Gab1,GAB1
Duox1,DUOX1
Col22a1,COL22A1
Ccl25,CCL25
Atp5f1,ATP5PB
Tor4a,TOR4A
Cfap61,CFAP61
Ska1,SKA1
Slc7a14,SLC7A14
Celsr3,CELSR3
Impdh1,IMPDH1
Olfr170,OR2AJ1
Ythdf2,YTHDF2
Ctsm,CTSL
Ppp4c,PPP4C
Cxcr5,CXCR5
Olfr1177-ps,OR5D3P
Cand1,CAND1
Zfp524,ZNF524
Dnah17,DNAH17
Pcgf5,PCGF5
Cpsf2,CPSF2
Tgfbr2,TGFBR2
Tnf,TNF
Fgd5,FGD5
Fcer1g,FCER1G
Tmub1,TMUB1
Pkd1l1,PKD1L1
Slc7a8,SLC7A8
Ccdc93,CCDC93
Cldn14,CLDN14
Llph,LLPH
Nfkbiz,NFKBIZ
Adh4,ADH4
Kcmf1,KCMF1
Snx4,SNX4
Wisp2,WISP2
Ints8,INTS8
Arrdc4,ARRDC4
Spata31,SPATA31A3
Spata31,SPATA31A6
Morc2b,MORC2
Ly6g6d,LY6G6D
Gm5485,C3orf85
Mfsd5,MFSD5
Trbv26,TRBV23-1
D230025D16Rik,C16orf70
Olfr447,OR2A25
Tmx4,TMX4
Mfsd9,MFSD9
4921501E09Rik,PHF8
Rln3,RLN3
Sertad3,SERTAD3
Stambpl1,STAMBPL1
Olfr1496,OR1S2
Olfr1496,OR1S1
Il31,IL31
Spryd3,SPRYD3
Treml2,TREML2
Olfr1048,OR8K5
Prkaa2,PRKAA2
Grm5,GRM5
Nppb,NPPB
Ptbp3,PTBP3
Stard5,STARD5
Trim43c,TRIM43B
Trim43c,TRIM43
Spz1,SPZ1
Dennd1b,DENND1B
Lect2,LECT2
Gsg1,GSG1
Zscan4-ps2,ZSCAN4
Sod1,SOD1
Tmem116,TMEM116
Pla2g2d,PLA2G2D
Rab40b,RAB40AL
Rab40b,RAB40B
Rab40b,RAB40A
Olfr1079,OR8K3
Trav6d-5,TRAV9-1
,KRTAP13-2
,KRTAP13-1
,KRTAP13-4
Ccdc28a,CCDC28A
Shisa3,SHISA3
Fam174b,FAM174B
Actg1,ACTG1
Rab44,RAB44
Rpl19,RPL19
Traf3ip1,TRAF3IP1
Cpt1b,CPT1B
Tube1,TUBE1
Coq6,COQ6
2410015M20Rik,C19orf70
Pgbd5,PGBD5
Fzd2,FZD2
Clcn7,CLCN7
Rtf1,RTF1
Mpped1,MPPED1
Bmp2,BMP2
Olfr1253,OR4A16
Ganc,GANC
Fam222a,FAM222A
Dnah8,DNAH8
F5,F5
Cnst,CNST
Ces4a,CES4A
Nup88,NUP88
Espnl,ESPNL
Tpp2,TPP2
1700037C18Rik,C16orf90
Tmco4,TMCO4
Lrrc66,LRRC66
Omd,OMD
Hdac6,HDAC6
Cog2,COG2
Ppp4r3b,PPP4R3B
Acp6,ACP6
Prkaca,PRKACG
Prkaca,PRKACA
Gtf2b,GTF2B
Khdrbs3,KHDRBS3
Ly6g6f,LY6G6F
Olfr168,OR2L13
Uchl5,UCHL5
Rtl5,RTL5
Olfr723,OR4L1
Ikbke,IKBKE
Nr2c2,NR2C2
Cd160,CD160
Tnks2,TNKS2
Il12rb2,IL12RB2
Vcpkmt,VCPKMT
Cops5,COPS5
Gm44805,APOC2
Arhgef25,ARHGEF25
Olfr146,OR8G5
1110008F13Rik,TGIF2-RAB5IF
Hgh1,HGH1
Mfsd4b2,MFSD4B
Ext2,EXT2
Trpc6,TRPC6
Dgat2,DGAT2
Tefm,TEFM
Fam122b,FAM122B
Tnnt1,TNNT1
Tmem120b,TMEM120B
Cnpy2,CNPY2
Pcdhgb6,PCDHGB6
Prpf40a,PRPF40A
Aamdc,AAMDC
Vmn1r24,VN1R5
Stap2,STAP2
Necap1,NECAP1
Park7,PARK7
Ddit4l,DDIT4L
Olfr1404,OR10J3
Gm19402,KRTAP10-12
Gm19402,KRTAP10-8
Gm19402,KRTAP10-5
Gm19402,KRTAP10-1
